algorithm,instance,nodes,edges,diameter,diam_lB,diam_uB,radius,time,sep_size,balance,ratio,exit
DualFC_NE,table/sixgrid/sixgrid_237_20,9994,14733,495,491,561,248,241,173,0.668819,0.043953,post
DualFC_NE_DMD,table/sixgrid/sixgrid_237_20,9994,14733,495,491,561,248,1365,173,0.718160,0.042144,post
DualFC,table/sixgrid/sixgrid_237_20,9994,14733,495,491,561,248,32216,331,0.998139,0.068573,cycle_expansion
DualFC_DMD,table/sixgrid/sixgrid_237_20,9994,14733,495,491,561,248,1421,168,0.969138,0.034739,post
DualFC_DMD_NE,table/sixgrid/sixgrid_237_20,9994,14733,495,491,561,248,1508,167,0.969339,0.034526,post
DualFC_NE,table/sixgrid/sixgrid_237_20,9994,14733,495,491,561,248,218,165,0.965014,0.034183,post
DualFC_NE_DMD,table/sixgrid/sixgrid_237_20,9994,14733,495,491,561,248,1248,165,0.972507,0.034049,post
DualFC,table/sixgrid/sixgrid_237_20,9994,14733,495,491,561,248,34319,315,0.649455,0.082655,cycle_expansion
DualFC_DMD,table/sixgrid/sixgrid_237_20,9994,14733,495,491,561,248,1341,160,0.722845,0.038778,post
DualFC_DMD_NE,table/sixgrid/sixgrid_237_20,9994,14733,495,491,561,248,1420,160,0.722845,0.038778,post
DualFC_NE,table/sixgrid/sixgrid_237_20,9994,14733,495,491,561,248,217,157,0.632426,0.041197,post
DualFC_NE_DMD,table/sixgrid/sixgrid_237_20,9994,14733,495,491,561,248,1203,157,0.636500,0.041035,post
DualFC,table/sixgrid/sixgrid_237_20,9994,14733,495,491,561,248,44403,822,0.446231,0.290459,cycle_expansion
DualFC_DMD,table/sixgrid/sixgrid_237_20,9994,14733,495,491,561,248,3257,213,0.595856,0.058324,post
DualFC_DMD_NE,table/sixgrid/sixgrid_237_20,9994,14733,495,491,561,248,3330,213,0.595856,0.058324,post
DualFC_NE,table/sixgrid/sixgrid_237_20,9994,14733,495,491,561,248,417,212,0.539987,0.061808,post
DualFC_NE_DMD,table/sixgrid/sixgrid_237_20,9994,14733,495,491,561,248,1672,212,0.591087,0.058338,post
DualFC,table/sixgrid/sixgrid_237_20,9994,14733,495,491,561,248,47161,777,0.400547,0.294765,cycle_expansion
DualFC_DMD,table/sixgrid/sixgrid_237_20,9994,14733,495,491,561,248,5381,390,0.551284,0.114269,post
DualFC_DMD_NE,table/sixgrid/sixgrid_237_20,9994,14733,495,491,561,248,5354,390,0.551284,0.114269,post
DualFC_NE,table/sixgrid/sixgrid_237_20,9994,14733,495,491,561,248,364,390,0.441609,0.132563,post
DualFC_NE_DMD,table/sixgrid/sixgrid_237_20,9994,14733,495,491,561,248,3530,390,0.531250,0.117047,post
DualFC,table/sixgrid/sixgrid_237_20,9994,14733,495,491,561,248,49113,703,0.880769,0.161572,cycle_expansion
DualFC_DMD,table/sixgrid/sixgrid_237_20,9994,14733,495,491,561,248,4447,353,0.951619,0.075090,post
DualFC_DMD_NE,table/sixgrid/sixgrid_237_20,9994,14733,495,491,561,248,4476,353,0.951619,0.075090,post
DualFC_NE,table/sixgrid/sixgrid_237_20,9994,14733,495,491,561,248,332,350,0.824097,0.080331,post
DualFC_NE_DMD,table/sixgrid/sixgrid_237_20,9994,14733,495,491,561,248,3382,350,0.890239,0.077059,post
DualFC,table/sixgrid/sixgrid_237_20,9994,14733,495,491,561,248,34668,293,0.487655,0.092138,cycle_expansion
DualFC_DMD,table/sixgrid/sixgrid_237_20,9994,14733,495,491,561,248,1224,149,0.545041,0.042902,post
DualFC_DMD_NE,table/sixgrid/sixgrid_237_20,9994,14733,495,491,561,248,1321,149,0.545041,0.042902,post
DualFC_NE,table/sixgrid/sixgrid_237_20,9994,14733,495,491,561,248,211,146,0.479123,0.045768,post
DualFC_NE_DMD,table/sixgrid/sixgrid_237_20,9994,14733,495,491,561,248,1123,146,0.509041,0.043949,post
DualFC,table/sixgrid/sixgrid_237_20,9994,14733,495,491,561,248,47516,898,0.516000,0.290052,cycle_expansion
DualFC_DMD,table/sixgrid/sixgrid_237_20,9994,14733,495,491,561,248,3798,232,0.692441,0.058087,post
DualFC_DMD_NE,table/sixgrid/sixgrid_237_20,9994,14733,495,491,561,248,3884,232,0.692441,0.058087,post
DualFC_NE,table/sixgrid/sixgrid_237_20,9994,14733,495,491,561,248,469,231,0.624459,0.061551,post
DualFC_NE_DMD,table/sixgrid/sixgrid_237_20,9994,14733,495,491,561,248,1867,231,0.687057,0.058099,post
DualFC,table/sixgrid/sixgrid_237_20,9994,14733,495,491,561,248,42511,669,0.450008,0.231168,cycle_expansion
DualFC_DMD,table/sixgrid/sixgrid_237_20,9994,14733,495,491,561,248,3979,336,0.584578,0.094303,post
